1,70.809,70.754,70.729,70.809
2,70.721,70.627,70.685,70.81
3,70.674,70.58,70.575,70.777
4,70.637,70.79,70.595,70.704
5,70.563,70.691,70.634,70.649
6,70.726,70.776,70.686,70.733
7,70.679,70.628,70.546,70.664
8,70.743,70.8,70.692,70.677
9,70.565,70.529,70.772,70.803
10,70.843,70.867,70.673,70.855
11,70.759,70.795,70.641,70.77
12,70.554,70.722,70.741,70.916
13,70.816,70.595,70.821,70.558
14,70.652,70.671,70.666,70.713
15,70.741,70.736,70.664,70.72
16,70.733,70.831,70.567,70.872
17,70.623,70.607,70.613,70.761
18,70.425,70.84,70.771,70.678
19,70.764,70.987,70.699,70.766
20,70.676,70.661,70.787,70.775
21,70.651,70.758,70.778,70.729
22,70.753,70.645,70.748,70.508
23,70.642,70.539,70.787,70.813
24,70.778,70.858,70.863,70.362
25,70.726,70.78,70.768,70.722
26,70.612,70.66,70.753,70.556
27,70.794,70.722,70.706,70.675
28,70.758,70.688,70.586,70.851
29,70.836,70.565,70.66,70.659
30,70.621,70.422,70.743,70.902
31,70.621,70.706,70.6,70.789
32,70.742,70.664,70.757,70.686
33,70.777,70.653,70.743,70.62
34,70.793,70.626,70.721,70.661
35,70.711,70.529,70.741,70.748
36,70.687,70.659,70.713,70.474
37,70.776,70.727,70.708,70.772
38,70.907,70.604,70.71,70.739
39,70.799,70.756,70.804,70.793
40,70.719,70.683,70.702,70.915
41,70.653,70.701,70.447,70.678
42,70.761,70.568,70.662,70.613
43,70.662,70.634,70.73,70.829
44,70.735,70.752,70.807,70.8
45,70.789,70.632,70.849,70.696
46,70.803,70.727,70.617,70.651
47,70.769,70.908,70.787,70.736
48,70.848,70.79,70.734,70.598
49,70.896,70.814,70.69,70.717
50,70.521,70.947,70.713,70.647
51,70.533,70.828,70.708,70.629
52,71.329,70.047,70.021,71.518
53,71.939,69.506,69.335,72.142
54,72.827,68.532,68.555,72.998
55,73.56,67.873,67.837,73.485
56,74.355,67.47,67.365,74.354
57,75.102,66.649,66.581,74.969
58,75.754,65.943,66.088,75.884
59,76.495,65.345,65.207,76.707
60,77.416,64.634,64.601,77.439
61,78.064,64.002,64.173,77.891
62,78.736,63.373,63.552,78.941
63,79.65,62.746,62.698,79.65
64,80.451,62.107,62.222,80.464
65,81.175,61.606,61.746,81.161
66,82.072,60.975,61.166,81.841
67,82.824,60.609,60.336,82.89
68,83.579,59.932,60.07,83.55
69,84.399,59.465,59.429,84.371
70,85.257,58.816,58.853,85.228
71,85.979,58.301,58.287,86.277
72,86.733,57.927,57.705,87.068
73,87.643,57.453,57.316,87.527
74,88.495,56.828,56.799,88.434
75,89.359,56.525,56.587,89.407
76,90.136,55.949,55.921,89.931
77,90.927,55.499,55.444,91.097
78,91.869,55.256,55.035,91.778
79,92.639,54.78,54.565,92.79
80,93.574,54.322,54.438,93.405
81,94.331,53.892,53.915,94.248
82,95.189,53.434,53.496,95.421
83,96.032,53.13,53.254,96.1
84,96.805,52.993,52.808,96.866
85,97.662,52.295,52.488,97.651
86,98.519,52.138,52.146,98.726
87,99.657,51.904,51.861,99.513
88,100.32,51.677,51.823,100.12
89,101.31,51.241,51.497,101.12
90,102.12,51.249,51.204,102.38
91,103.14,51.063,51.161,102.96
92,103.92,50.71,50.806,103.63
93,104.59,50.61,50.665,104.62
94,105.56,50.366,50.346,105.55
95,106.56,50.521,50.406,106.54
96,107.38,50.287,50.105,107.34
97,108.47,50.135,50.061,108.25
98,109.12,49.997,50.185,109.13
99,109.86,50.05,50.075,109.92
100,110.95,50.178,49.923,111.03
101,111.71,50.028,49.96,111.77
102,112.26,51.035,49.026,111.31
103,112.82,51.88,48.022,110.94
104,113.21,53.017,46.829,110.49
105,113.68,54.078,45.879,110.02
106,114.11,54.862,44.823,109.67
107,114.6,56.113,43.993,109.46
108,115.09,57.247,42.828,108.91
109,115.32,57.844,42.07,108.4
110,116.15,58.793,40.899,107.99
111,116.72,59.993,39.889,107.68
112,117.01,61.076,39.179,107.18
113,117.51,61.992,38.216,107.16
114,118.25,62.984,36.918,106.65
115,118.58,64.001,35.996,106.17
116,119.1,64.894,35.196,105.96
117,119.9,65.836,33.946,105.48
118,120.3,67.158,33.172,105.36
119,121.05,68.029,32.082,104.98
120,121.37,68.881,31.006,104.7
121,122,70.108,29.965,104.44
122,122.67,70.87,29.169,104.21
123,123.28,71.988,28.071,103.77
124,123.86,73.074,26.937,103.43
125,124.42,73.916,26.039,103.31
126,124.98,74.965,24.912,103
127,125.54,76.003,24.015,102.88
128,126.26,77.195,23.153,102.43
129,126.78,78.046,22.053,102.48
130,127.48,78.96,20.924,102.21
131,128.17,79.977,20.035,101.87
132,128.46,80.972,18.93,101.76
133,129.5,82.131,18.202,101.69
134,129.89,82.972,16.821,101.68
135,130.73,83.921,15.934,101.24
136,131.4,85.024,15.077,101.26
137,131.75,85.991,13.918,100.89
138,132.57,87.079,13.002,100.86
139,133.55,88.096,12.065,100.7
140,133.85,89.109,11.126,100.64
141,134.58,90.065,9.9073,100.45
142,135.24,91.063,8.983,100.26
143,136.01,92.19,7.9528,100.29
144,136.67,92.884,6.9886,100.29
145,137.15,93.965,6.0369,100.13
146,137.89,94.83,4.9381,100.11
147,138.66,96.092,4.08,100.12
148,139.31,97.002,3.0427,100.1
149,140.27,97.97,1.9528,99.947
150,140.76,98.828,1.0276,99.978
